"","word","AAD.freq","AAD.prop","TLS.freq","TLS.freq","dProp","dAbs"
"1","angel",211,0.837301587301587,13,0.00476190476190476,0.832539682539683,0.832539682539683
"2","god",126,0.5,156,0.0571428571428571,0.442857142857143,0.442857142857143
"3","heaven",71,0.281746031746032,48,0.0175824175824176,0.264163614163614,0.264163614163614
"4","earth",62,0.246031746031746,63,0.0230769230769231,0.222954822954823,0.222954822954823
"5","said",11,0.0436507936507936,696,0.254945054945055,-0.211294261294261,0.211294261294261
"6","peter",5,0.0198412698412698,553,0.202564102564103,-0.182722832722833,0.182722832722833
"7","bodi",55,0.218253968253968,142,0.052014652014652,0.166239316239316,0.166239316239316
"8","bibl",42,0.166666666666667,46,0.0168498168498168,0.14981684981685,0.14981684981685
"9","will",51,0.202380952380952,227,0.0831501831501831,0.119230769230769,0.119230769230769
"10","jesus",31,0.123015873015873,24,0.00879120879120879,0.114224664224664,0.114224664224664
"11","creat",33,0.130952380952381,53,0.0194139194139194,0.111538461538462,0.111538461538462
"12","thousand",28,0.111111111111111,26,0.00952380952380952,0.101587301587302,0.101587301587302
"13","now",26,0.103174603174603,555,0.203296703296703,-0.1001221001221,0.1001221001221
"14","spirit",24,0.0952380952380952,11,0.00402930402930403,0.0912087912087912,0.0912087912087912
"15","genesi",23,0.0912698412698413,5,0.00183150183150183,0.0894383394383394,0.0894383394383394
"16","upon",24,0.0952380952380952,16,0.00586080586080586,0.0893772893772894,0.0893772893772894
"17","back",8,0.0317460317460317,316,0.115750915750916,-0.084004884004884,0.084004884004884
"18","shall",22,0.0873015873015873,18,0.00659340659340659,0.0807081807081807,0.0807081807081807
"19","scriptur",21,0.0833333333333333,12,0.0043956043956044,0.0789377289377289,0.0789377289377289
"20","man",21,0.0833333333333333,441,0.161538461538462,-0.0782051282051282,0.0782051282051282
"21","time",39,0.154761904761905,209,0.0765567765567766,0.0782051282051282,0.0782051282051282
"22","creatur",20,0.0793650793650794,8,0.00293040293040293,0.0764346764346764,0.0764346764346764
"23","like",14,0.0555555555555556,352,0.128937728937729,-0.0733821733821734,0.0733821733821734
"24","million",19,0.0753968253968254,15,0.00549450549450549,0.0699023199023199,0.0699023199023199
"25","place",29,0.115079365079365,129,0.0472527472527473,0.0678266178266178,0.0678266178266178
"26","also",22,0.0873015873015873,57,0.0208791208791209,0.0664224664224664,0.0664224664224664
"27","form",19,0.0753968253968254,27,0.00989010989010989,0.0655067155067155,0.0655067155067155
"28","christ",16,0.0634920634920635,8,0.00293040293040293,0.0605616605616606,0.0605616605616606
"29","see",10,0.0396825396825397,266,0.0974358974358974,-0.0577533577533578,0.0577533577533578
"30","know",40,0.158730158730159,276,0.101098901098901,0.0576312576312576,0.0576312576312576
"31","mani",23,0.0912698412698413,95,0.0347985347985348,0.0564713064713065,0.0564713064713065
"32","without",20,0.0793650793650794,64,0.0234432234432234,0.0559218559218559,0.0559218559218559
"33","say",24,0.0952380952380952,115,0.0421245421245421,0.0531135531135531,0.0531135531135531
"34","therefor",14,0.0555555555555556,8,0.00293040293040293,0.0526251526251526,0.0526251526251526
"35","death",17,0.0674603174603175,48,0.0175824175824176,0.0498778998778999,0.0498778998778999
"36","old",22,0.0873015873015873,110,0.0402930402930403,0.047008547008547,0.047008547008547
"37","definit",13,0.0515873015873016,13,0.00476190476190476,0.0468253968253968,0.0468253968253968
"38","light",7,0.0277777777777778,203,0.0743589743589744,-0.0465811965811966,0.0465811965811966
"39","special",13,0.0515873015873016,14,0.00512820512820513,0.0464590964590965,0.0464590964590965
"40","saint",12,0.0476190476190476,7,0.00256410256410256,0.0450549450549451,0.0450549450549451
"41","refer",14,0.0555555555555556,29,0.0106227106227106,0.0449328449328449,0.0449328449328449
"42","host",11,0.0436507936507936,6,0.0021978021978022,0.0414529914529915,0.0414529914529915
"43","revel",12,0.0476190476190476,17,0.00622710622710623,0.0413919413919414,0.0413919413919414
"44","want",5,0.0198412698412698,167,0.0611721611721612,-0.0413308913308913,0.0413308913308913
"45","present",11,0.0436507936507936,11,0.00402930402930403,0.0396214896214896,0.0396214896214896
"46","year",22,0.0873015873015873,131,0.047985347985348,0.0393162393162393,0.0393162393162393
"47","worship",11,0.0436507936507936,12,0.0043956043956044,0.0392551892551893,0.0392551892551893
"48","star",12,0.0476190476190476,24,0.00879120879120879,0.0388278388278388,0.0388278388278388
"49","home",14,0.0555555555555556,48,0.0175824175824176,0.037973137973138,0.037973137973138
"50","son",13,0.0515873015873016,38,0.0139194139194139,0.0376678876678877,0.0376678876678877
"51","etern",10,0.0396825396825397,6,0.0021978021978022,0.0374847374847375,0.0374847374847375
"52","activ",10,0.0396825396825397,8,0.00293040293040293,0.0367521367521367,0.0367521367521367
"53","point",5,0.0198412698412698,152,0.0556776556776557,-0.0358363858363858,0.0358363858363858
"54","wast",10,0.0396825396825397,12,0.0043956043956044,0.0352869352869353,0.0352869352869353
"55","dark",8,0.0317460317460317,181,0.0663003663003663,-0.0345543345543346,0.0345543345543346
"56","fallen",10,0.0396825396825397,14,0.00512820512820513,0.0345543345543345,0.0345543345543345
"57","exist",13,0.0515873015873016,49,0.0179487179487179,0.0336385836385836,0.0336385836385836
"58","rank",9,0.0357142857142857,6,0.0021978021978022,0.0335164835164835,0.0335164835164835
"59","just",13,0.0515873015873016,232,0.084981684981685,-0.0333943833943834,0.0333943833943834
"60","cast",9,0.0357142857142857,7,0.00256410256410256,0.0331501831501832,0.0331501831501832
"61","day",16,0.0634920634920635,83,0.0304029304029304,0.0330891330891331,0.0330891330891331
"62","holi",11,0.0436507936507936,29,0.0106227106227106,0.033028083028083,0.033028083028083
"63","hebrew",9,0.0357142857142857,9,0.0032967032967033,0.0324175824175824,0.0324175824175824
"64","even",12,0.0476190476190476,217,0.0794871794871795,-0.0318681318681319,0.0318681318681319
"65","power",11,0.0436507936507936,205,0.0750915750915751,-0.0314407814407814,0.0314407814407814
"66","concern",10,0.0396825396825397,24,0.00879120879120879,0.0308913308913309,0.0308913308913309
"67","void",10,0.0396825396825397,26,0.00952380952380952,0.0301587301587302,0.0301587301587302
"68","can",10,0.0396825396825397,190,0.0695970695970696,-0.0299145299145299,0.0299145299145299
"69","wing",8,0.0317460317460317,5,0.00183150183150183,0.0299145299145299,0.0299145299145299
"70","destroy",9,0.0357142857142857,16,0.00586080586080586,0.0298534798534799,0.0298534798534799
"71","spiritu",10,0.0396825396825397,28,0.0102564102564103,0.0294261294261294,0.0294261294261294
"72","must",13,0.0515873015873016,64,0.0234432234432234,0.0281440781440781,0.0281440781440781
"73","carri",11,0.0436507936507936,44,0.0161172161172161,0.0275335775335775,0.0275335775335775
"74","differ",12,0.0476190476190476,55,0.0201465201465201,0.0274725274725275,0.0274725274725275
"75","mention",9,0.0357142857142857,23,0.00842490842490842,0.0272893772893773,0.0272893772893773
"76","natur",9,0.0357142857142857,23,0.00842490842490842,0.0272893772893773,0.0272893772893773
"77","demon",8,0.0317460317460317,13,0.00476190476190476,0.026984126984127,0.026984126984127
"78","seem",8,0.0317460317460317,160,0.0586080586080586,-0.0268620268620269,0.0268620268620269
"79","may",11,0.0436507936507936,46,0.0168498168498168,0.0268009768009768,0.0268009768009768
"80","notic",9,0.0357142857142857,25,0.00915750915750916,0.0265567765567766,0.0265567765567766
"81","ask",5,0.0198412698412698,125,0.0457875457875458,-0.0259462759462759,0.0259462759462759
"82","thing",14,0.0555555555555556,81,0.0296703296703297,0.0258852258852259,0.0258852258852259
"83","today",10,0.0396825396825397,38,0.0139194139194139,0.0257631257631258,0.0257631257631258
"84","think",5,0.0198412698412698,124,0.0454212454212454,-0.0255799755799756,0.0255799755799756
"85","sinc",9,0.0357142857142857,28,0.0102564102564103,0.0254578754578755,0.0254578754578755
"86","forev",7,0.0277777777777778,8,0.00293040293040293,0.0248473748473748,0.0248473748473748
"87","passag",8,0.0317460317460317,19,0.00695970695970696,0.0247863247863248,0.0247863247863248
"88","die",10,0.0396825396825397,41,0.015018315018315,0.0246642246642247,0.0246642246642247
"89","one",42,0.166666666666667,389,0.142490842490842,0.0241758241758242,0.0241758241758242
"90","live",11,0.0436507936507936,54,0.0197802197802198,0.0238705738705739,0.0238705738705739
"91","presenc",7,0.0277777777777778,11,0.00402930402930403,0.0237484737484737,0.0237484737484737
"92","belong",7,0.0277777777777778,12,0.0043956043956044,0.0233821733821734,0.0233821733821734
"93","countless",7,0.0277777777777778,12,0.0043956043956044,0.0233821733821734,0.0233821733821734
"94","first",17,0.0674603174603175,121,0.0443223443223443,0.0231379731379731,0.0231379731379731
"95","take",6,0.0238095238095238,128,0.0468864468864469,-0.0230769230769231,0.0230769230769231
"96","final",7,0.0277777777777778,137,0.0501831501831502,-0.0224053724053724,0.0224053724053724
"97","told",8,0.0317460317460317,147,0.0538461538461538,-0.0221001221001221,0.0221001221001221
"98","glorious",6,0.0238095238095238,5,0.00183150183150183,0.021978021978022,0.021978021978022
"99","teach",7,0.0277777777777778,17,0.00622710622710623,0.0215506715506716,0.0215506715506716
"100","scienc",13,0.0515873015873016,82,0.03003663003663,0.0215506715506715,0.0215506715506715
"101","order",13,0.0515873015873016,83,0.0304029304029304,0.0211843711843712,0.0211843711843712
"102","use",6,0.0238095238095238,122,0.0446886446886447,-0.0208791208791209,0.0208791208791209
"103","express",7,0.0277777777777778,20,0.00732600732600733,0.0204517704517704,0.0204517704517704
"104","found",6,0.0238095238095238,120,0.043956043956044,-0.0201465201465202,0.0201465201465202
"105","six",7,0.0277777777777778,24,0.00879120879120879,0.018986568986569,0.018986568986569
"106","great",19,0.0753968253968254,154,0.0564102564102564,0.018986568986569,0.018986568986569
"107","speak",10,0.0396825396825397,58,0.0212454212454212,0.0184371184371184,0.0184371184371184
"108","beast",5,0.0198412698412698,6,0.0021978021978022,0.0176434676434676,0.0176434676434676
"109","food",5,0.0198412698412698,6,0.0021978021978022,0.0176434676434676,0.0176434676434676
"110","plan",6,0.0238095238095238,17,0.00622710622710623,0.0175824175824176,0.0175824175824176
"111","exact",5,0.0198412698412698,102,0.0373626373626374,-0.0175213675213675,0.0175213675213675
"112","creator",5,0.0198412698412698,7,0.00256410256410256,0.0172771672771673,0.0172771672771673
"113","surround",7,0.0277777777777778,29,0.0106227106227106,0.0171550671550672,0.0171550671550672
"114","read",15,0.0595238095238095,116,0.0424908424908425,0.017032967032967,0.017032967032967
"115","made",16,0.0634920634920635,127,0.0465201465201465,0.016971916971917,0.016971916971917
"116","mile",6,0.0238095238095238,19,0.00695970695970696,0.0168498168498168,0.0168498168498168
"117","act",5,0.0198412698412698,9,0.0032967032967033,0.0165445665445665,0.0165445665445665
"118","sent",6,0.0238095238095238,20,0.00732600732600733,0.0164835164835165,0.0164835164835165
"119","word",15,0.0595238095238095,207,0.0758241758241758,-0.0163003663003663,0.0163003663003663
"120","cloud",5,0.0198412698412698,10,0.00366300366300366,0.0161782661782662,0.0161782661782662
"121","record",5,0.0198412698412698,10,0.00366300366300366,0.0161782661782662,0.0161782661782662
"122","either",6,0.0238095238095238,21,0.00769230769230769,0.0161172161172161,0.0161172161172161
"123","forth",5,0.0198412698412698,11,0.00402930402930403,0.0158119658119658,0.0158119658119658
"124","world",11,0.0436507936507936,162,0.0593406593406593,-0.0156898656898657,0.0156898656898657
"125","throughout",5,0.0198412698412698,12,0.0043956043956044,0.0154456654456654,0.0154456654456654
"126","tell",12,0.0476190476190476,172,0.063003663003663,-0.0153846153846154,0.0153846153846154
"127","becam",6,0.0238095238095238,23,0.00842490842490842,0.0153846153846154,0.0153846153846154
"128","messag",10,0.0396825396825397,68,0.0249084249084249,0.0147741147741148,0.0147741147741148
"129","comfort",5,0.0198412698412698,14,0.00512820512820513,0.0147130647130647,0.0147130647130647
"130","fire",7,0.0277777777777778,36,0.0131868131868132,0.0145909645909646,0.0145909645909646
"131","author",5,0.0198412698412698,15,0.00549450549450549,0.0143467643467643,0.0143467643467643
"132","origin",6,0.0238095238095238,26,0.00952380952380952,0.0142857142857143,0.0142857142857143
"133","protect",7,0.0277777777777778,37,0.0135531135531136,0.0142246642246642,0.0142246642246642
"134","sun",5,0.0198412698412698,16,0.00586080586080586,0.013980463980464,0.013980463980464
"135","morn",6,0.0238095238095238,27,0.00989010989010989,0.0139194139194139,0.0139194139194139
"136","though",6,0.0238095238095238,28,0.0102564102564103,0.0135531135531136,0.0135531135531136
"137","perfect",8,0.0317460317460317,50,0.0183150183150183,0.0134310134310134,0.0134310134310134
"138","begin",7,0.0277777777777778,40,0.0146520146520147,0.0131257631257631,0.0131257631257631
"139","beyond",7,0.0277777777777778,40,0.0146520146520147,0.0131257631257631,0.0131257631257631
"140","fact",7,0.0277777777777778,40,0.0146520146520147,0.0131257631257631,0.0131257631257631
"141","believ",19,0.0753968253968254,170,0.0622710622710623,0.0131257631257631,0.0131257631257631
"142","physic",8,0.0317460317460317,51,0.0186813186813187,0.0130647130647131,0.0130647130647131
"143","come",16,0.0634920634920635,138,0.0505494505494506,0.0129426129426129,0.0129426129426129
"144","assum",5,0.0198412698412698,19,0.00695970695970696,0.0128815628815629,0.0128815628815629
"145","invis",5,0.0198412698412698,19,0.00695970695970696,0.0128815628815629,0.0128815628815629
"146","find",8,0.0317460317460317,121,0.0443223443223443,-0.0125763125763126,0.0125763125763126
"147","fall",5,0.0198412698412698,20,0.00732600732600733,0.0125152625152625,0.0125152625152625
"148","art",6,0.0238095238095238,31,0.0113553113553114,0.0124542124542125,0.0124542124542125
"149","hope",5,0.0198412698412698,88,0.0322344322344322,-0.0123931623931624,0.0123931623931624
"150","age",7,0.0277777777777778,42,0.0153846153846154,0.0123931623931624,0.0123931623931624
"151","flesh",7,0.0277777777777778,42,0.0153846153846154,0.0123931623931624,0.0123931623931624
"152","cours",9,0.0357142857142857,64,0.0234432234432234,0.0122710622710623,0.0122710622710623
"153","need",8,0.0317460317460317,120,0.043956043956044,-0.0122100122100122,0.0122100122100122
"154","return",7,0.0277777777777778,43,0.0157509157509158,0.012026862026862,0.012026862026862
"155","rise",5,0.0198412698412698,22,0.00805860805860806,0.0117826617826618,0.0117826617826618
"156","usual",5,0.0198412698412698,22,0.00805860805860806,0.0117826617826618,0.0117826617826618
"157","person",6,0.0238095238095238,33,0.0120879120879121,0.0117216117216117,0.0117216117216117
"158","ever",5,0.0198412698412698,86,0.0315018315018315,-0.0116605616605617,0.0116605616605617
"159","possess",5,0.0198412698412698,23,0.00842490842490842,0.0114163614163614,0.0114163614163614
"160","immedi",7,0.0277777777777778,45,0.0164835164835165,0.0112942612942613,0.0112942612942613
"161","accord",5,0.0198412698412698,24,0.00879120879120879,0.011050061050061,0.011050061050061
"162","call",18,0.0714285714285714,225,0.0824175824175824,-0.010989010989011,0.010989010989011
"163","well",6,0.0238095238095238,95,0.0347985347985348,-0.010989010989011,0.010989010989011
"164","suggest",6,0.0238095238095238,35,0.0128205128205128,0.010989010989011,0.010989010989011
"165","anoth",8,0.0317460317460317,57,0.0208791208791209,0.0108669108669109,0.0108669108669109
"166","came",9,0.0357142857142857,68,0.0249084249084249,0.0108058608058608,0.0108058608058608
"167","pictur",5,0.0198412698412698,25,0.00915750915750916,0.0106837606837607,0.0106837606837607
"168","probabl",7,0.0277777777777778,47,0.0172161172161172,0.0105616605616606,0.0105616605616606
"169","littl",8,0.0317460317460317,58,0.0212454212454212,0.0105006105006105,0.0105006105006105
"170","often",5,0.0198412698412698,27,0.00989010989010989,0.00995115995115995,0.00995115995115995
"171","univers",6,0.0238095238095238,38,0.0139194139194139,0.00989010989010989,0.00989010989010989
"172","ten",7,0.0277777777777778,49,0.0179487179487179,0.00982905982905983,0.00982905982905983
"173","peopl",7,0.0277777777777778,50,0.0183150183150183,0.00946275946275946,0.00946275946275946
"174","never",14,0.0555555555555556,126,0.0461538461538462,0.0094017094017094,0.0094017094017094
"175","import",5,0.0198412698412698,29,0.0106227106227106,0.00921855921855922,0.00921855921855922
"176","wait",6,0.0238095238095238,90,0.032967032967033,-0.00915750915750916,0.00915750915750916
"177","kind",5,0.0198412698412698,77,0.0282051282051282,-0.00836385836385837,0.00836385836385837
"178","mean",11,0.0436507936507936,97,0.0355311355311355,0.00811965811965812,0.00811965811965812
"179","radio",5,0.0198412698412698,32,0.0117216117216117,0.00811965811965812,0.00811965811965812
"180","save",5,0.0198412698412698,32,0.0117216117216117,0.00811965811965812,0.00811965811965812
"181","work",7,0.0277777777777778,98,0.0358974358974359,-0.00811965811965812,0.00811965811965812
"182","hous",5,0.0198412698412698,76,0.0278388278388278,-0.007997557997558,0.007997557997558
"183","howev",5,0.0198412698412698,76,0.0278388278388278,-0.007997557997558,0.007997557997558
"184","way",13,0.0515873015873016,161,0.058974358974359,-0.00738705738705739,0.00738705738705739
"185","rememb",5,0.0198412698412698,35,0.0128205128205128,0.00702075702075702,0.00702075702075702
"186","might",8,0.0317460317460317,68,0.0249084249084249,0.00683760683760683,0.00683760683760683
"187","prison",5,0.0198412698412698,36,0.0131868131868132,0.00665445665445665,0.00665445665445665
"188","appear",9,0.0357142857142857,80,0.0293040293040293,0.00641025641025641,0.00641025641025641
"189","real",5,0.0198412698412698,37,0.0135531135531136,0.00628815628815629,0.00628815628815629
"190","air",6,0.0238095238095238,82,0.03003663003663,-0.00622710622710623,0.00622710622710623
"191","new",8,0.0317460317460317,102,0.0373626373626374,-0.00561660561660562,0.00561660561660562
"192","friend",5,0.0198412698412698,39,0.0142857142857143,0.00555555555555555,0.00555555555555555
"193","enter",6,0.0238095238095238,50,0.0183150183150183,0.00549450549450549,0.00549450549450549
"194","make",9,0.0357142857142857,112,0.041025641025641,-0.00531135531135531,0.00531135531135531
"195","let",7,0.0277777777777778,89,0.0326007326007326,-0.00482295482295483,0.00482295482295483
"196","alway",9,0.0357142857142857,86,0.0315018315018315,0.00421245421245421,0.00421245421245421
"197","certain",5,0.0198412698412698,43,0.0157509157509158,0.00409035409035409,0.00409035409035409
"198","pleas",5,0.0198412698412698,43,0.0157509157509158,0.00409035409035409,0.00409035409035409
"199","realli",5,0.0198412698412698,43,0.0157509157509158,0.00409035409035409,0.00409035409035409
"200","receiv",5,0.0198412698412698,43,0.0157509157509158,0.00409035409035409,0.00409035409035409
"201","ago",6,0.0238095238095238,76,0.0278388278388278,-0.00402930402930403,0.00402930402930403
"202","life",8,0.0317460317460317,76,0.0278388278388278,0.0039072039072039,0.0039072039072039
"203","high",5,0.0198412698412698,45,0.0164835164835165,0.00335775335775336,0.00335775335775336
"204","human",10,0.0396825396825397,117,0.0428571428571429,-0.00317460317460318,0.00317460317460318
"205","later",5,0.0198412698412698,46,0.0168498168498168,0.00299145299145299,0.00299145299145299
"206","chapter",12,0.0476190476190476,138,0.0505494505494506,-0.00293040293040293,0.00293040293040293
"207","give",6,0.0238095238095238,73,0.0267399267399267,-0.00293040293040293,0.00293040293040293
"208","clear",8,0.0317460317460317,94,0.0344322344322344,-0.00268620268620269,0.00268620268620269
"209","two",12,0.0476190476190476,123,0.0450549450549451,0.00256410256410256,0.00256410256410256
"210","men",7,0.0277777777777778,82,0.03003663003663,-0.00225885225885226,0.00225885225885226
"211","book",6,0.0238095238095238,59,0.0216117216117216,0.0021978021978022,0.0021978021978022
"212","everi",8,0.0317460317460317,92,0.0336996336996337,-0.00195360195360195,0.00195360195360195
"213","prepar",5,0.0198412698412698,50,0.0183150183150183,0.00152625152625152,0.00152625152625152
"214","last",8,0.0317460317460317,83,0.0304029304029304,0.00134310134310134,0.00134310134310134
"215","number",9,0.0357142857142857,99,0.0362637362637363,-0.000549450549450554,0.000549450549450554
"216","much",7,0.0277777777777778,76,0.0278388278388278,-6.10500610500643e-05,6.10500610500643e-05
"217","truth",5,0.0198412698412698,54,0.0197802197802198,6.10500610500608e-05,6.10500610500608e-05
"218","studi",6,0.0238095238095238,65,0.0238095238095238,0,0
